"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 21:05:12 GMT 2022","Sat Dec 24 21:05:14 GMT 2022","2519","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","annotatedStepTest","Проверка наличия Issue №1 в репозитории TribalBNS/AllureFirstTimeTests",""
"passed","Sat Dec 24 21:05:10 GMT 2022","Sat Dec 24 21:05:12 GMT 2022","2100","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","lambdaStepTest","lambdaStepTest()",""
"passed","Sat Dec 24 21:05:03 GMT 2022","Sat Dec 24 21:05:09 GMT 2022","6458","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","SearchIssueTest","SearchIssueTest()",""
